City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
162,Kahului,US,2022-07-28 19:30:29,20.8947,-156.47,83.97,63,20,12.66,few clouds,0,0
163,Zhob,PK,2022-07-28 19:33:30,31.3411,69.4481,78.6,62,100,3.11,overcast clouds,0,0
164,Ponta Do Sol,PT,2022-07-28 19:33:31,32.6667,-17.1,75.7,80,1,2.93,clear sky,0,0
165,Touros,BR,2022-07-28 19:33:32,-5.1989,-35.4608,77.83,78,5,15.46,clear sky,0,0
166,Cidreira,BR,2022-07-28 19:33:33,-30.1811,-50.2056,65.25,93,100,9.95,moderate rain,0,0
167,Khudumelapye,BW,2022-07-28 19:33:35,-23.8833,24.75,58.55,33,2,9.73,clear sky,0,0
168,Pandan,PH,2022-07-28 19:33:36,14.0453,124.1694,81.18,83,100,7.4,light rain,0,0
169,Caravelas,BR,2022-07-28 19:33:37,-17.7125,-39.2481,72.7,72,0,6.38,clear sky,0,0
170,Baiyin,CN,2022-07-28 19:33:38,36.5583,104.2081,67.77,56,73,5.61,broken clouds,0,0
171,Asosa,ET,2022-07-28 19:33:39,10.0667,34.5333,59.85,83,100,1.99,overcast clouds,0,0
172,Monrovia,LR,2022-07-28 19:33:40,6.3005,-10.7969,75.7,71,96,9.75,overcast clouds,0,0
173,Airai,TL,2022-07-28 19:33:41,-8.9266,125.4092,51.17,80,76,3.85,broken clouds,0,0
174,Chokurdakh,RU,2022-07-28 19:30:30,70.6333,147.9167,49.44,48,100,12.48,overcast clouds,0,0
175,Talnakh,RU,2022-07-28 19:33:43,69.4865,88.3972,52.21,75,0,8.72,clear sky,0,0
176,Constitucion,CL,2022-07-28 19:33:31,-35.3333,-72.4167,58.28,62,0,13.44,clear sky,0,0
177,Chase,CA,2022-07-28 19:33:45,50.8165,-119.6857,96.08,30,1,0.56,clear sky,0,0
178,Two Rivers,US,2022-07-28 19:33:45,44.1539,-87.5693,76.32,52,40,9.22,scattered clouds,0,0
179,Faya,SA,2022-07-28 19:33:46,18.3851,42.4509,71.71,56,100,1.39,overcast clouds,0,0
180,Cayenne,GF,2022-07-28 19:30:05,4.9333,-52.3333,86.04,11,100,8.05,haze,0,0
181,Turukhansk,RU,2022-07-28 19:33:47,65.8167,87.9833,53.11,82,0,9.82,clear sky,0,0
182,Hay River,CA,2022-07-28 19:30:25,60.8156,-115.7999,62.58,88,100,2.3,light rain,0,0
183,Fayaoue,NC,2022-07-28 19:33:49,-20.65,166.5333,72.48,72,1,20.09,clear sky,0,0
184,Xiongzhou,CN,2022-07-28 19:33:51,25.1167,114.3,80.04,64,100,2.35,overcast clouds,0,0
185,Harper,LR,2022-07-28 19:33:53,4.375,-7.7169,74.8,77,100,7.52,overcast clouds,0,0
186,Brae,GB,2022-07-28 19:33:53,60.3964,-1.353,55.04,78,100,9.15,overcast clouds,0,0
187,Sakaiminato,JP,2022-07-28 19:33:54,35.55,133.2333,78.78,89,20,3.44,few clouds,0,0
188,Beringovskiy,RU,2022-07-28 19:33:56,63.05,179.3167,49.41,81,100,8.01,overcast clouds,0,0
189,Verkhoyansk,RU,2022-07-28 19:34:00,67.5447,133.385,73.9,57,76,1.95,broken clouds,0,0
190,Leiyang,CN,2022-07-28 19:34:01,26.4024,112.8591,78.84,84,100,2.21,overcast clouds,0,0
191,Tumut,AU,2022-07-28 19:34:03,-35.3,148.2167,36.14,94,10,1.83,clear sky,0,0
192,Nizhniy Tsasuchey,RU,2022-07-28 19:34:04,50.5167,115.1333,55.9,72,10,2.13,clear sky,0,0
193,Ribeira Grande,PT,2022-07-28 19:34:05,38.5167,-28.7,75.6,69,75,6.91,broken clouds,0,0
194,Kathmandu,NP,2022-07-28 19:32:16,27.7167,85.3167,71.82,94,75,2.3,broken clouds,0,0
195,Necochea,AR,2022-07-28 19:34:06,-38.5473,-58.7368,47.95,83,100,21.54,overcast clouds,0,0
196,Palembang,ID,2022-07-28 19:34:06,-2.9167,104.7458,80.69,89,20,3.44,few clouds,0,0
197,Bavly,RU,2022-07-28 19:34:07,54.393,53.2602,57.94,83,99,4.09,overcast clouds,0,0
198,Hamilton,US,2022-07-28 19:30:42,39.1834,-84.5333,90.59,52,40,12.66,scattered clouds,0,0
199,Wewak,PG,2022-07-28 19:34:07,-3.5534,143.6268,78.64,86,91,9.33,overcast clouds,0,0
200,Ahipara,NZ,2022-07-28 19:34:08,-35.1667,173.1667,56.3,73,99,10.71,overcast clouds,0,0
201,Portland,US,2022-07-28 19:30:25,45.5234,-122.6762,92.64,52,20,4.61,few clouds,0,0
202,Dekar,BW,2022-07-28 19:34:09,-21.5333,21.9333,61.2,34,0,10.33,clear sky,0,0
203,San Lawrenz,MT,2022-07-28 19:34:10,36.0553,14.204,82.85,87,0,1.99,clear sky,0,0
204,Salalah,OM,2022-07-28 19:30:28,17.0151,54.0924,77.09,88,100,6.91,overcast clouds,0,0
205,Krasnoselkup,RU,2022-07-28 19:34:12,65.7,82.4667,52.21,82,0,9.35,clear sky,0,0
206,Lorengau,PG,2022-07-28 19:34:13,-2.0226,147.2712,80.94,81,70,13.98,broken clouds,0,0
207,Mount Isa,AU,2022-07-28 19:34:13,-20.7333,139.5,42.57,61,2,5.75,clear sky,0,0
208,San Juan Del Sur,NI,2022-07-28 19:34:14,11.2529,-85.8705,86.22,66,20,4.61,few clouds,0,0
209,Saint-Joseph,RE,2022-07-28 19:34:15,-21.3667,55.6167,66.2,82,2,9.22,clear sky,0,0
210,Port Keats,AU,2022-07-28 19:34:16,-14.25,129.55,65.89,43,74,9.08,broken clouds,0,0
211,Kangasala,FI,2022-07-28 19:34:17,61.4638,24.076,58.32,81,99,8.77,overcast clouds,0,0
212,Lasa,IT,2022-07-28 19:34:18,46.6166,10.7002,70.68,94,98,2.44,overcast clouds,0,0
213,Licheng,CN,2022-07-28 19:34:19,23.2955,113.8284,84.52,74,100,3.22,overcast clouds,0,0
214,Georgetown,MY,2022-07-28 19:34:19,5.4112,100.3354,80.89,85,20,3.44,few clouds,0,0
215,Shawville,CA,2022-07-28 19:34:20,45.6001,-76.4827,83.86,63,100,15.5,overcast clouds,0,0
216,Kavieng,PG,2022-07-28 19:33:08,-2.5744,150.7967,80.83,79,57,17.34,light rain,0,0
217,Butterworth,MY,2022-07-28 19:34:21,5.3991,100.3638,81.0,85,20,3.44,few clouds,0,0
218,Mandera,KE,2022-07-28 19:34:22,3.9366,41.867,82.85,42,6,15.93,clear sky,0,0
219,Tricase,IT,2022-07-28 19:34:22,39.9304,18.3553,81.32,74,0,9.46,clear sky,0,0
220,Longyearbyen,SJ,2022-07-28 19:34:23,78.2186,15.6401,42.64,81,75,18.41,broken clouds,0,0
221,Kitimat,CA,2022-07-28 19:34:24,54.0524,-128.6534,80.98,40,1,1.52,clear sky,0,0
222,Vila Velha,BR,2022-07-28 19:31:00,-20.3297,-40.2925,78.75,78,20,17.27,few clouds,0,0
223,Vieques,PR,2022-07-28 19:34:26,18.425,-65.8329,90.66,66,40,18.41,scattered clouds,0,0
224,Champerico,GT,2022-07-28 19:34:26,14.3,-91.9167,88.34,74,100,9.37,overcast clouds,0,0
225,Katsuura,JP,2022-07-28 19:34:27,35.1333,140.3,79.38,91,64,8.99,broken clouds,0,0
226,Le Port,RE,2022-07-28 19:34:28,-20.9373,55.2919,69.26,77,95,5.59,overcast clouds,0,0
227,Oriximina,BR,2022-07-28 19:34:28,-1.7656,-55.8661,88.99,50,90,3.09,overcast clouds,0,0
228,Sibu,MY,2022-07-28 19:34:29,2.3,111.8167,73.71,94,40,0.0,scattered clouds,0,0
229,Fort Nelson,CA,2022-07-28 19:34:30,58.8053,-122.7002,71.19,53,100,9.22,smoke,0,0
230,Cocorit,MX,2022-07-28 19:34:31,27.5833,-109.9667,86.34,42,100,3.33,overcast clouds,0,0
231,Awjilah,LY,2022-07-28 19:34:31,29.1081,21.2869,87.76,35,0,14.32,clear sky,0,0
232,Colares,PT,2022-07-28 19:34:31,38.7992,-9.4469,74.88,71,20,25.32,few clouds,0,0
233,Sicamous,CA,2022-07-28 19:34:32,50.8331,-118.9856,96.19,28,1,4.07,clear sky,0,0
234,Sonoita,MX,2022-07-28 19:34:32,31.85,-112.8333,97.03,24,84,14.61,broken clouds,0,0
235,Mahajanga,MG,2022-07-28 19:34:33,-15.7167,46.3167,73.42,78,40,3.44,scattered clouds,0,0
236,Bulungu,CD,2022-07-28 19:34:33,-4.55,18.6,79.74,38,45,2.66,scattered clouds,0,0
237,Upata,VE,2022-07-28 19:34:33,8.0086,-62.3989,79.61,82,89,2.95,overcast clouds,0,0
238,Los Llanos De Aridane,ES,2022-07-28 19:34:34,28.6585,-17.9182,73.13,81,20,20.71,few clouds,0,0
239,Victoria,HK,2022-07-28 19:34:19,22.2855,114.1577,87.33,80,100,4.0,overcast clouds,0,0
